AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0.0,0.0,1.0,0.77,0.0,1.7,0.0,0.0,0.0,0.0,2.22,0.75,1.14,0.0,0.39,0.0,0.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.83,0.82,0.0,1.75,0.0,0.02,0.0,0.07,2.22,0.48,1.17,0.0,0.84,0.0,0.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.89,0.64,0.0,1.64,0.0,0.0,0.0,0.0,2.09,0.47,1.29,0.04,0.44,0.0,0.69,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.04,0.0,0.66,0.5,0.0,1.75,0.0,0.16,0.15,0.02,2.07,0.44,0.95,0.0,1.39,0.25,0.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.12,0.0,1.21,0.42,0.15,2.27,0.0,0.7,0.29,0.09,2.06,0.31,0.98,0.0,1.67,0.69,0.62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.4,0.72,0.0,2.26,0.0,0.0,0.0,0.0,2.3,0.64,0.81,0.0,0.72,0.0,0.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.02,0.0,1.05,0.42,0.04,2.05,0.0,0.18,0.2,0.11,2.17,0.5,0.77,0.0,1.13,0.36,0.76,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.04,0.69,0.05,2.11,0.0,0.24,0.19,0.0,2.18,0.45,0.94,0.0,1.16,0.0,0.64,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,1.12,0.47,0.07,2.24,0.0,0.0,0.1,0.0,2.19,0.38,1.05,0.0,1.28,0.0,0.62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.93,0.52,0.0,1.7,0.0,0.3,0.22,0.0,2.03,0.57,0.98,0.0,1.28,0.54,0.67,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
